name,lat,lon
다래성,37.5503881,127.171730
풍성찌개백반,37.5288986,127.120986
동리회집,37.5506914,127.139569
춘자네맛집,37.5428346,127.131792
데쎄르룸1호점,37.5306356,127.122867
둔촌골 한식뷔페,37.5284325,127.143216
교촌치킨고덕점,37.5597947,127.151639
고궁,37.5338552,127.136698
아리랑호프,37.5510794,127.131105
부산어묵,37.5329369,127.127894
신촌서서갈비,37.5495333,127.127832
참참분식,37.5464907,127.133485
생생고깃집,37.5510010,127.128615
풍촌코다리네,37.5493000,127.126926
밀사랑칼국수,37.5520521,127.154057
상일식당,37.5478818,127.172799
본죽&비빔밥 명일동점,37.5527260,127.155439
일품닭한마리,37.5273469,127.131437
솔터,37.5576884,127.126748
니코,37.5386693,127.125980
영계두마리,37.5385391,127.137748
고향국시,37.5375300,127.137746
피자마루 천호점,37.5381363,127.135484
감악산참숯불생소금구이,37.5605304,127.154029
참존숯불바베큐,37.5429972,127.131408
치토스,37.5430719,127.137088
오늘와인한잔,37.5385071,127.125969
꾸러기분식,37.5418945,127.134506
