주소,위도,경도
서울특별시 강동구 고덕로80길 123,37.5518119,127.1652728
서울특별시 강동구 고덕로46길 71,37.55143025,127.146269
서울특별시 강동구 구천면로 428,37.5502967,127.140397
서울특별시 강동구 상일로 55,37.553051,127.1723493
서울특별시 강동구 동남로82길 120,37.5609074,127.1577464
서울특별시 강동구 양재대로 1339,37.5312359,127.138644
서울특별시 강동구 상일로12길 95,37.5537796,127.1725251
서울특별시 강동구 천호대로199길 10,37.5365261,127.1482178
서울특별시 강동구 올림픽로100길 30,37.5521171,127.1298806
서울특별시 강동구 고덕로 256,37.5543004,127.1430187
서울특별시 강동구 고덕로 266,37.5543004,127.1430187
서울특별시 강동구 동남로67길 38,37.5487787,127.1540974
서울특별시 강동구 상암로12길 20,37.5483168,127.1280777
